"machine_id","machine_name","machine_broadcastip","machine_mac","machine_port","machine_colour","machine_sort","group_id","group_name","group_sort","machine_ip","secure_on","machine_ping_port","machine_ping_ssid"
"","","","","","","","0","Ciro Marina","-1","",""
"1","CI0001","192.168.70.255","6C:4B:90:75:32:F2","9","#99CC00","1","0","","","192.168.70.114","","-1",""
"2","CI0002","192.168.70.255","6C:4B:90:75:34:F6","9","#99CC00","2","0","","","192.168.70.124","","-1",""
"3","CI0003","192.168.70.255","6C:4B:90:5D:27:67","9","#99CC00","3","0","","","192.168.70.118","","-1",""
"4","CI0005","192.168.70.255","6C:4B:90:75:33:F1","9","#99CC00","4","0","","","192.168.70.121","","-1",""
"5","CI0006","192.168.70.255","6C:4B:90:75:36:26","9","#99CC00","5","0","","","192.168.70.116","","-1",""
"6","CI0007","192.168.70.255","6C:4B:90:79:B9:DD","9","#99CC00","6","0","","","192.168.70.122","","-1",""
"7","CI0008","192.168.70.255","6C:4B:90:75:3D:C6","9","#99CC00","7","0","","","192.168.70.115","","-1",""
"8","CI0009","192.168.70.255","6C:4B:90:75:41:C2","9","#99CC00","8","0","","","192.168.70.123","","-1",""
"9","CI0011","192.168.70.255","F8:BC:12:65:6C:3C","9","#99CC00","9","0","","","192.168.70.126","","-1",""
"10","CI0018","192.168.70.255","00:19:99:6F:A9:D5","9","#99CC00","10","0","","","192.168.70.106","","-1",""
"11","CI0023","192.168.70.255","00:19:99:9B:97:CB","9","#99CC00","11","0","","","192.168.70.151","","-1",""
"12","CI0024","192.168.70.255","00:19:99:9A:C3:78","9","#99CC00","12","0","","","192.168.70.159","","-1",""
"13","CI0025","192.168.70.255","78:E3:B5:CB:9D:58","9","#99CC00","13","0","","","192.168.70.135","","-1",""
"14","CI0026","192.168.70.255","3C:D9:2B:63:45:BD","9","#99CC00","14","0","","","192.168.70.136","","-1",""
"15","CI0027","192.168.70.255","00:23:24:0D:6F:8D","9","#99CC00","15","0","","","192.168.70.138","","-1",""
"16","CI0028","192.168.70.255","00:24:81:98:72:F8","9","#99CC00","16","0","","","192.168.70.137","","-1",""
"17","CI0030","192.168.70.255","00:23:7D:BF:46:25","9","#99CC00","17","0","","","192.168.70.141","","-1",""
"18","CI0032","192.168.70.255","00:19:99:94:21:C9","9","#99CC00","18","0","","","192.168.70.129","","-1",""
"19","CI0033","192.168.70.255","00:19:99:93:BE:B7","9","#99CC00","19","0","","","192.168.70.143","","-1",""
"20","CI0034","192.168.70.255","64:31:50:20:B8:ED","9","#99CC00","20","0","","","192.168.70.142","","-1",""
"21","CI0035","192.168.70.255","00:19:99:6F:87:FC","9","#99CC00","21","0","","","192.168.70.104","","-1",""
"22","CI0036","192.168.70.255","00:19:99:9B:98:27","9","#99CC00","22","0","","","192.168.70.144","","-1",""
"23","CI0041","192.168.70.255","00:23:7D:BA:FA:7E","9","#99CC00","23","0","","","192.168.70.154","","-1",""
"24","CI0042","192.168.70.255","00:23:7D:B7:26:9D","9","#99CC00","24","0","","","192.168.70.153","","-1",""
"25","CI0044","192.168.70.255","F8:BC:12:71:B3:36","9","#99CC00","25","0","","","192.168.70.158","","-1",""
"26","CI0045","192.168.70.255","B8:AC:6F:28:0A:B4","9","#99CC00","26","0","","","192.168.70.105","","-1",""
"27","CI0047","192.168.70.255","6C:4B:90:75:34:C7","9","#99CC00","27","0","","","192.168.70.120","","-1",""
